Timestamp_us,Voltage_uV,Current_uA,Power_W
3100211608091,4251000,-2403125,10.215684
3100211658444,4251000,-2403125,10.215684
3100211708763,4251000,-2168750,9.219356
3100211759119,4251000,-2168750,9.219356
3100211809463,4251000,-2168750,9.219356
3100211859825,4251000,-2168750,9.219356
3100211910126,4251000,-2168750,9.219356
3100211960432,4251000,-2168750,9.219356
3100212010745,4251000,-2168750,9.219356
3100212061043,4251000,-2157031,9.169539
3100212111349,4251000,-2157031,9.169539
3100212161652,4251000,-2157031,9.169539
3100212211945,4251000,-2157031,9.169539
3100212279662,4251000,-2157031,9.169539
3100212329985,4251000,-2157031,9.169539
3100212380277,4251000,-2157031,9.169539
3100212430572,4251000,-1822656,7.748111
3100212480862,4251000,-1822656,7.748111
3100212531151,4251000,-1822656,7.748111
3100212581453,4251000,-1822656,7.748111
3100212633596,4251000,-1822656,7.748111
3100212684036,4251000,-1822656,7.748111
3100212734533,4251000,-1822656,7.748111
3100212784867,4251000,-3308593,14.064829
3100212835211,4251000,-3308593,14.064829
3100212885631,4251000,-3308593,14.064829
3100212936087,4251000,-3308593,14.064829
3100212986470,4251000,-3308593,14.064829
3100213036794,4251000,-3308593,14.064829
3100213087137,4251000,-3308593,14.064829
3100213137603,4251000,-2603906,11.069204
3100213187903,4251000,-2603906,11.069204
3100213238193,4251000,-2603906,11.069204
3100213288528,4251000,-2603906,11.069204
